abandon,버리다
queen,여왕
question,질문; 질문하다
quick,빠른
quickly,빠르게
quiet,조용한
quietly,조용히
quit,그만두다
quite,꽤
quiz,퀴즈
quote,인용하다
quotation,인용구
queue,줄; 줄 서다
qualified,자격 있는
qualify,자격을 얻다
qualification,자격
qualitative,질적인
quantitative,양적인
query,질문; 문의
quest,탐색; 탐구
questionnaire,설문지
quirk,특이한 점
quota,할당량
quota system,할당 제도
quotation mark,따옴표
quarantine,격리
quarrel,다툼; 다투다
quarterly,분기별의
quench,갈증을 해소하다
queue up,줄을 서다
quick-witted,눈치 빠른
quietness,고요함
quaint,이상하게 재미있는
qualm,불안; 양심의 가책
quarrelsome,다투기 좋아하는
quash,진압하다
quaver,떨리다
quibble,트집 잡다
quicksand,유사
quickstep,빠른 걸음
quintet,5중주
quintessential,전형적인
quirky,독특한
quizzical,의아한
quorum,정족수
quota-free,무할당의
quack,오리 울음; 돌팔이 의사
quadrant,사분면
quadrilateral,사각형
quadruple,네 배로 하다
quagmire,늪; 곤경
quaintly,기묘하게
quality control,품질 관리
quality assurance,품질 보증
quarantine area,격리 구역
quick response,빠른 대응
question mark,물음표
quiet zone,조용 구역
quota limit,할당 한도
race,경주; 인종
radical,급진적인
radio,라디오
rail,레일; 철도
railroad,철도
rain,비
raise,올리다; 모금하다
range,범위; 산맥
rank,순위; 계급
rapid,빠른
rare,드문
rate,비율; 평가하다
rather,오히려; 꽤
raw,날것의
reach,도달하다
react,반응하다
reaction,반응
read,읽다
reader,독자
reading,독서
ready,준비된
real,진짜의
realize,깨닫다
really,정말로
reason,이유
reasonable,합리적인
recall,회상하다
receive,받다
recent,최근의
recipe,요리법
recognize,인식하다
recommend,추천하다
record,기록; 녹음하다
recover,회복하다
recycle,재활용하다
reduce,줄이다
refer,언급하다
reference,참조
reflect,반영하다; 비추다
refuse,거절하다
regard,여기다; ~에 대해
region,지역
register,등록하다
regret,후회하다
regular,규칙적인
regulation,규정
reject,거절하다
relate,관련시키다
relation,관계
relationship,관계
relative,친척; 상대적인
relax,휴식하다
release,풀어주다; 출시하다
relevant,관련 있는
reliable,믿을 수 있는
relief,안도; 구호
religion,종교
remain,남다
remark,말하다; 언급
remember,기억하다
remind,상기시키다
remove,제거하다
rent,임대하다; 임대료
repair,수리하다
repeat,반복하다
replace,대체하다
reply,답장하다
report,보고하다; 보고서
represent,대표하다
republic,공화국
request,요청하다
require,요구하다
research,연구
reserve,예약하다; 보류하다
resign,사임하다
resist,저항하다
resource,자원
respect,존경하다
respond,응답하다
response,응답
rest,휴식; 나머지
restaurant,식당
result,결과
retain,유지하다
retire,은퇴하다
return,돌아가다; 반환하다
reveal,드러내다
review,검토하다; 리뷰
revise,수정하다
reward,보상
rich,부유한
ride,타다
right,옳은; 오른쪽
ring,반지; 울리다
rise,오르다
risk,위험
river,강
road,도로
role,역할
roll,구르다; 두루마리
romantic,낭만적인
roof,지붕
room,방; 여지
root,뿌리
rope,밧줄
rough,거친
round,둥근; 둘러
route,경로
routine,일상
row,줄; 노를 젓다
royal,왕실의
rule,규칙; 지배하다
run,달리다
rural,시골의
rush,서두르다
safe,안전한
safety,안전
sail,항해하다
salary,급여
sale,판매
salt,소금
same,같은
sample,샘플
sand,모래
sandwich,샌드위치
satisfy,만족시키다
save,구하다; 저축하다
say,말하다
scale,규모; 저울
scan,훑어보다; 스캔하다
scene,장면
schedule,일정
school,학교
science,과학
scientist,과학자
score,점수
screen,화면
sea,바다
search,찾다
season,계절
seat,자리
second,두 번째; 초
secret,비밀
section,부분
secure,안전한; 확보하다
see,보다
seed,씨앗
seek,찾다
seem,~처럼 보이다
select,선택하다
self,자기
sell,팔다
send,보내다
sense,감각; 의미
sentence,문장; 선고
separate,분리하다; 별개의
serious,심각한
serve,제공하다; 봉사하다
service,서비스
set,놓다; 세트
settle,정착하다
seven,일곱
several,몇몇의
severe,엄격한; 심각한
sex,성
shade,그늘
shake,흔들다
shall,~할 것이다
shape,모양
share,공유하다
sharp,날카로운
she,그녀
sheet,종이; 시트
shelf,선반
shell,껍질
shift,변화; 옮기다
shine,빛나다
ship,배; 운송하다
shirt,셔츠
shock,충격
shoe,신발
shoot,쏘다
shop,가게
short,짧은
should,~해야 한다
show,보여주다
shut,닫다
sick,아픈
side,쪽; 측면
sign,표지; 서명하다
signal,신호
silent,조용한
similar,비슷한
simple,단순한
since,~이후; ~때문에
sing,노래하다
single,단일의; 독신의
sink,가라앉다
sir,~님; 선생
sister,자매
sit,앉다
site,장소
situation,상황
six,여섯
size,크기
skill,기술
skin,피부
sleep,자다
slight,약간의
slow,느린
small,작은
smell,냄새; 냄새 맡다
smile,미소
snow,눈
so,그래서; 매우
social,사회적인
society,사회
soft,부드러운
software,소프트웨어
soil,토양
soldier,군인
solid,고체의; 단단한
solve,해결하다
some,약간의
somebody,누군가
someone,누군가
something,무언가
sometimes,때때로
son,아들
song,노래
soon,곧
sorry,미안한
sort,종류; 분류하다
sound,소리; 들리다
soup,수프
source,원천
south,남쪽
space,공간; 우주
speak,말하다
special,특별한
species,종
specific,특정한
speech,연설
speed,속도
spell,철자를 말하다
spend,쓰다; 보내다
spirit,정신
spoil,망치다
spoon,숟가락
sport,스포츠
spread,퍼지다
spring,봄; 샘
square,정사각형
stable,안정된
stage,무대; 단계
stand,서다
standard,기준
star,별
start,시작하다
state,상태; 국가
station,역
stay,머무르다
step,걸음; 단계
stick,막대기; 붙다
still,여전히
stock,주식; 재고
stomach,위
stop,멈추다
store,가게; 저장하다
storm,폭풍
story,이야기
straight,곧은
strange,이상한
strategy,전략
street,거리
stress,스트레스; 강조
stretch,늘이다
strict,엄격한
strike,치다; 파업
strong,강한
structure,구조
struggle,투쟁하다
student,학생
study,공부하다
style,스타일
subject,주제; 과목
substance,물질
success,성공
such,그러한
sudden,갑작스러운
suffer,고통받다
sugar,설탕
suggest,제안하다
suit,정장; 맞다
summer,여름
sun,태양
supply,공급하다
support,지지하다
suppose,가정하다
sure,확신하는
surface,표면
surprise,놀라게 하다
surround,둘러싸다
survey,조사
survive,살아남다
system,체계
table,테이블; 표
take,가져가다
talk,말하다
tall,키가 큰
tax,세금
taxi,택시
tea,차
teach,가르치다
teacher,교사
team,팀
tear,눈물; 찢다
technology,기술
teenager,십대
telephone,전화
television,텔레비전
tell,말하다
temperature,온도
temporary,일시적인
ten,열
tend,~하는 경향이 있다
term,기간; 용어
terrible,끔찍한
test,시험; 검사
text,글; 문자
than,~보다
thank,감사하다
that,저것; ~라는
theater,극장
their,그들의
them,그들을
theme,주제
then,그때; 그러면
theory,이론
there,거기에
therefore,그러므로
these,이것들
they,그들
thick,두꺼운
thin,얇은
thing,것
think,생각하다
third,세 번째
this,이것
though,비록 ~일지라도
thought,생각
thousand,천
threat,위협
three,셋
through,~을 통해
throw,던지다
thus,그러므로
ticket,표
tie,묶다; 넥타이
time,시간
tiny,아주 작은
title,제목
today,오늘
together,함께
tomorrow,내일
ton,톤
tone,음; 말투
tool,도구
top,꼭대기
topic,주제
total,전체의; 합계
touch,만지다
tour,여행
tourist,관광객
toward,~쪽으로
tower,탑
town,도시
toy,장난감
track,길; 추적하다
trade,무역
tradition,전통
traditional,전통적인
traffic,교통
train,기차; 훈련하다
transfer,이동하다
transform,변형하다
translate,번역하다
transport,운송하다
travel,여행하다
treat,대하다; 치료하다
treatment,치료
tree,나무
trend,경향
trial,재판; 시도
trick,속임수
trip,여행
trouble,문제
truck,트럭
true,진실한
trust,신뢰하다
truth,진실
try,시도하다
turn,돌다; 순서
turtle,거북이
twice,두 번
twin,쌍둥이
type,유형; 타이핑하다
typical,전형적인
umbrella,우산
unable,~할 수 없는
uncle,삼촌; 이모부; 외삼촌
under,~아래에
underground,지하의; 지하철
understand,이해하다
understanding,이해
undo,원상태로 돌리다
unfair,불공정한
unhappy,불행한
uniform,제복; 균일한
union,연합
unique,독특한
unit,단위
unite,연합하다
university,대학교
unknown,알려지지 않은
unless,~하지 않는 한
unlike,~와 달리
unload,짐을 내리다
unlock,잠금을 풀다
unnecessary,불필요한
until,~까지
up,위로
update,최신 정보; 갱신하다
upon,~위에
upper,위쪽의
upset,속상한; 뒤엎다
urban,도시의
urge,촉구하다
urgent,긴급한
use,사용하다
useful,유용한
useless,쓸모없는
user,사용자
usual,보통의
usually,보통
utility,유용성; 공공서비스
utilize,활용하다
utter,완전히; 말하다
vacation,휴가
vaccine,백신
valid,타당한
valley,계곡
valuable,가치 있는
value,가치
van,승합차
variety,다양성
various,다양한
vast,광대한
vegetable,채소
vehicle,탈것
venture,모험
version,버전
vertical,수직의
very,매우
vessel,선박; 혈관
victim,피해자
victory,승리
video,영상
view,견해; 전망
village,마을
violence,폭력
violent,폭력적인
virtual,가상의
virus,바이러스
visible,보이는
vision,시력; 비전
visit,방문하다
visitor,방문객
visual,시각의
voice,목소리
volume,부피; 권
voluntary,자발적인
vote,투표하다
voyage,항해
wait,기다리다
wake,깨다
walk,걷다
wall,벽
want,원하다
war,전쟁
warm,따뜻한
warn,경고하다
wash,씻다
waste,낭비하다; 쓰레기
watch,보다; 시계
water,물
wave,파도; 흔들다
way,방법; 길
wealth,부
weapon,무기
wear,입다
weather,날씨
week,주
weekend,주말
weigh,무게를 달다
weight,무게
welcome,환영하다
well,잘; 우물
west,서쪽
western,서쪽의
wet,젖은
what,무엇
when,언제
where,어디
whether,~인지 아닌지
which,어느
while,~하는 동안
white,흰색
who,누구
whole,전체의
why,왜
wide,넓은
wife,아내
wild,야생의
win,이기다
wind,바람
window,창문
wing,날개
winter,겨울
wire,철사
wise,현명한
wish,바라다
within,~안에
without,~없이
woman,여자
wonder,궁금하다
wonderful,훌륭한
wood,나무
word,단어
work,일하다
worker,노동자
world,세계
worry,걱정하다
worse,더 나쁜
worst,최악의
worth,가치
would,~할 것이다
write,쓰다
writer,작가
wrong,틀린
x-ray,X선
xenophobia,외국인 혐오
xylophone,실로폰
yard,마당
year,년
yell,외치다
yellow,노란색
yes,예
yesterday,어제
yet,아직
yield,양보하다; 산출하다
young,젊은
youth,청년
zebra,얼룩말
zero,영
zone,구역
zoo,동물원
zoom,확대하다
